sanity;comment
10;Who...
10;You...
10;Pain...
9;Can...you...hear...me?
9;Can...you...feel...it?
9;Do...you...see...me?
8;I know you...
8;I know why you are here...
8;He is why you are here...
7;There is no point in fighting me
7;You should take a break
7;Give up
6;Screams... Can you here them?
6;Your friends are suffering because of you
6;You can't win
5;Why are you fighting. All your goals are WORTHLESS. Your life is POINTLESS!!!
5;Listen to those VOICES!!!
5;Can you feel that ALL YOUR actions are taking you NOWHERE?
4;YOU ARE NOTHING!!! YOU ARE WORTHLESS!!!
4;GIVE UP!!! GIVE UP!!! GIVE UP!!! GIVE UP!!! 
4;STOP FIGHTING!!! STOP FIGHTING!!! STOP FIGHTING!!! STOP FIGHTING!!! 
3;YOu ARE NoTHiNG!!! yOU cAn'T WiN!!! YOu ARE NoTHiNG!!! yOU cAn'T WiN!!! YOu ARE NoTHiNG!!! yOU cAn'T WiN!!! YOu ARE NoTHiNG!!! yOU cAn'T WiN!!! YOu ARE NoTHiNG!!! yOU cAn'T WiN!!!
3;gIVe Up!!!! YOU cAN't sTOP iT!!! gIVe Up!!!! YOU cAN't sTOP iT!!! gIVe Up!!!! YOU cAN't sTOP iT!!! gIVe Up!!!! YOU cAN't sTOP iT!!! gIVe Up!!!! YOU cAN't sTOP iT!!! gIVe Up!!!! YOU cAN't sTOP iT!!! gIVe Up!!!! YOU cAN't sTOP iT!!!
3;wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! wORThLEss!!! pOiNtLeSS!!! 
2;!^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!! &*)$@*!!!! ^*()^*)^*()!!! !^&(^&(^&*(!!! YOU cAN't sTOP iT!!!  ^&*()(*&*^&(!!!
2;VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!! VOIceS!!! pOiNtLeSS!!! wORThLEss!!! ^&&(%(!$^#(@!!!
2;NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!! NOthINg!!! &()_^*_&*)&)*()P!!!
